merchant_mask,score,segment_type,gen_industry,log_orders,log_gmv,CTR,price_competitiveness,avg_order_value,do_click_ratio,is_active
Орбринино,0.7108414121936952,top100,FMCG,6.729824070489475,14.932432857262361,0.020775282665717848,0.8252,3654.8265550239234,0.10030622193537755,1
Артерридж,0.7104740851788311,big,CEHAC,6.556778356158042,16.857739701430752,0.0107360396215697,0.8743,29803.54907539118,0.13191880022745803,1
Радбринпорт,0.7091806308312405,top100,Pharma,9.437157168656688,16.794824230939433,0.01976156759649183,0.4543,1568.2987644479872,0.08098985939733144,1
Радиркент,0.7081116575942324,top100,FMCG,7.649216319820633,15.087389643651871,0.024811875537989053,0.4437,1700.452335557674,0.15761568713933913,1
Уралилинск,0.7075572153520359,top100,CEHAC,6.963189985870238,15.852655972248689,0.019468423557227242,0.555,7262.013257575758,0.17077582356819293,1
Северавельск,0.7070907073712046,top100,CEHAC,6.530877627725885,17.306158744346885,0.01716524598802629,0.6865,47893.7299270073,0.12242234740813479,1
Мирмарполис,0.7068789657867651,big,DIY,6.57507584059962,15.128991454847252,0.016647129599695894,0.7996,5194.268156424581,0.16129032258064516,1
Севергринемир,0.7059759026674259,big,Pharma,8.57583938684897,16.18092865602984,0.01774080195665096,0.4717,2008.7698547443879,0.17109314573141593,1
Речполистан,0.7058182524247012,big,CEHAC,6.2766434893416445,16.813719861145767,0.011025374399536981,0.8159,37758.193973634654,0.34466601858420254,1
Тихвинорск,0.7050292601643993,big,Other,7.732807530422021,16.2733559149693,0.020565101134220554,0.5171,5120.393686979395,0.09969160939630481,1
Лесхолмхилл,0.70427563347796,top100,Other,5.973809611869261,15.552454396303798,0.021683613343299834,0.8493,14489.686224489797,0.13141580764223176,1
Ладсторидж,0.703741865081835,big,DIY,6.336825731146441,14.816991709891866,0.030280661853644628,0.6915,4826.790780141844,0.07795014207027191,1
Камуринск,0.7036457844373891,big,DIY,6.4457198193855785,16.48993661718501,0.02129916165966573,0.6207,23058.85850556439,0.12065087660068188,1
Доллансково,0.702626852804458,medium,CEHAC,5.2574953720277815,16.640969206054773,0.022682619684790503,0.9438,88317.69109947643,0.3837552143621552,1
Дарбургемир,0.7014995009197785,big,Other,6.025865973825314,15.884911107181303,0.031085485438789473,0.6087,19176.93220338983,0.09047779487693162,1
Лесурполис,0.701144415915556,big,Other,5.2574953720277815,16.38149945184363,0.03126972505056371,0.8065,68133.61256544503,0.16016414862803743,1
Даромск,0.7000452533629665,medium,CEHAC,5.472270673671475,16.383367376967925,0.031022089690668837,0.7214,55012.02953586498,0.1356683469494177,1
